query_id,query,intent,intent_prob_informational,intent_prob_comparison,intent_prob_transactional,intent_prob_navigational,intent_confidence,mentions_own_brand,mentions_own_product,mentions_competitor_brand,mentions_competitor_product,out_of_category,mentions_competitor,own_product_only,latency_ms,model,input_tokens,output_tokens
Q0001,NIKON canon 違い,comparison,0.0,1.0,0.0,0.0,1.0,0.97,0.04,0.88,0.12,0.04,0.88,0.0012,513.0,jev-1.13.0,1071,150
Q0002,Z fc 設定方法 まとめ,informational,1.0,0.0,0.0,0.0,1.0,0.07,0.95,0.02,0.02,0.04,0.02,0.8835,557.6,jev-1.13.0,1075,153
Q0003,Nikon カスタマーサポート,navigational,0.0,0.0,0.0,1.0,1.0,0.97,0.03,0.03,0.02,0.05,0.03,0.0009,484.7,jev-1.13.0,1075,153
Q0004,Zf 価格 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.09,0.95,0.03,0.03,0.04,0.03,0.8645,525.1,jev-1.13.0,1072,152
Q0005,24-120mm f4 S 評判 まとめ,informational,0.99,0.01,0.0,0.0,0.99,0.12,0.81,0.03,0.03,0.04,0.03,0.7128,553.6,jev-1.13.0,1081,153
Q0006,ニコン 50mm f1.8 S 設定方法,informational,1.0,0.0,0.0,0.0,1.0,0.98,0.94,0.02,0.02,0.03,0.02,0.0188,525.5,jev-1.13.0,1081,153
Q0007,NIKKOR Z 180-600mm 作例 まとめ,informational,1.0,0.0,0.0,0.0,1.0,0.15,0.93,0.04,0.03,0.04,0.04,0.7905,505.3,jev-1.13.0,1084,153
Q0008,Zf とは,informational,1.0,0.0,0.0,0.0,1.0,0.1,0.94,0.03,0.03,0.04,0.03,0.846,510.4,jev-1.13.0,1068,153
Q0009,z8 通販 店舗,transactional,0.0,0.0,1.0,0.0,0.99,0.07,0.92,0.03,0.03,0.04,0.03,0.8556,326.8,jev-1.13.0,1072,152
Q0010,RF24-105 F4 L スペック,informational,0.98,0.02,0.0,0.0,0.97,0.03,0.09,0.07,0.8,0.08,0.8,0.0873,307.7,jev-1.13.0,1078,153
Q0011,z50ii 初心者,informational,0.96,0.03,0.01,0.0,0.93,0.08,0.88,0.03,0.03,0.04,0.03,0.8096,313.8,jev-1.13.0,1072,153
Q0012,eos r50 スペック 初心者向け,informational,0.98,0.02,0.0,0.0,0.97,0.03,0.04,0.14,0.91,0.06,0.91,0.0388,300.9,jev-1.13.0,1080,153
Q0013,ニコンZf 購入 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.98,0.97,0.03,0.02,0.03,0.03,0.0194,316.1,jev-1.13.0,1076,152
Q0014,Nikon カメラ 評判,informational,0.95,0.05,0.0,0.0,0.93,0.97,0.05,0.04,0.02,0.04,0.04,0.0015,286.3,jev-1.13.0,1073,153
Q0015,SONY プリンター,transactional,0.32,0.02,0.61,0.05,0.48,0.02,0.02,0.92,0.27,0.95,0.92,0.0196,256.1,jev-1.13.0,1071,152
Q0016,Nikon Canon どっちがいい,comparison,0.0,1.0,0.0,0.0,1.0,0.88,0.04,0.83,0.09,0.03,0.83,0.0048,255.4,jev-1.13.0,1073,150
Q0017,r6 mark2 価格 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.03,0.06,0.13,0.87,0.07,0.87,0.0582,216.3,jev-1.13.0,1074,152
Q0018,zfc 在庫 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.09,0.92,0.02,0.03,0.04,0.03,0.8372,324.1,jev-1.13.0,1072,152
Q0019,Canon eos r8 最安値 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.02,0.04,0.84,0.94,0.04,0.94,0.0392,239.1,jev-1.13.0,1074,152
Q0020,nikon Z50 2 セール 使い方,informational,0.74,0.0,0.26,0.0,0.65,0.35,0.94,0.03,0.02,0.04,0.03,0.611,218.5,jev-1.13.0,1078,153
Q0021,sony α7CII 違い NIKON Z9,comparison,0.0,1.0,0.0,0.0,1.0,0.88,0.91,0.85,0.96,0.03,0.96,0.1092,232.3,jev-1.13.0,1077,150
Q0022,NIKON z30 性能比較 どこで 在庫,transactional,0.0,0.22,0.78,0.0,0.7,0.95,0.93,0.05,0.03,0.03,0.05,0.0465,327.8,jev-1.13.0,1083,152
Q0023,Sony カスタマーサポート,navigational,0.0,0.0,0.0,1.0,1.0,0.02,0.02,0.95,0.05,0.09,0.95,0.0196,286.5,jev-1.13.0,1074,153
Q0024,Nikon ニコンZ9 通販 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.98,0.96,0.05,0.03,0.03,0.05,0.0192,253.0,jev-1.13.0,1075,152
Q0025,CANON カスタマーサポート,navigational,0.0,0.0,0.0,1.0,1.0,0.02,0.02,0.89,0.03,0.1,0.89,0.0196,287.5,jev-1.13.0,1075,153
Q0026,sony a1 II キャンペーン,informational,0.79,0.03,0.1,0.08,0.73,0.02,0.06,0.91,0.94,0.06,0.94,0.0588,269.2,jev-1.13.0,1074,153
Q0027,nikon Z 24-120mm f4 セール 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.32,0.93,0.03,0.02,0.03,0.03,0.6324,269.8,jev-1.13.0,1083,152
Q0028,Nikon z30 違い sony FE 200-600mm G,comparison,0.0,1.0,0.0,0.0,1.0,0.91,0.92,0.46,0.88,0.05,0.88,0.0828,213.1,jev-1.13.0,1084,150
Q0029,NIKON カメラ レビュー,informational,0.98,0.02,0.0,0.0,0.97,0.98,0.04,0.04,0.03,0.04,0.04,0.0008,287.7,jev-1.13.0,1075,153
Q0030,Canon カメラ 設定方法,informational,1.0,0.0,0.0,0.0,1.0,0.02,0.04,0.9,0.14,0.05,0.9,0.0392,244.4,jev-1.13.0,1074,153
Q0031,R6II 画質 どっちがいい,comparison,0.0,1.0,0.0,0.0,1.0,0.04,0.06,0.1,0.7,0.06,0.7,0.0576,221.6,jev-1.13.0,1076,150
Q0032,RF 50mm f1.8 作例 初心者向け,informational,1.0,0.0,0.0,0.0,0.99,0.03,0.06,0.09,0.83,0.12,0.83,0.0582,276.7,jev-1.13.0,1082,153
Q0033,NIKKOR Z 40mm f/2 口コミ まとめ,informational,0.99,0.01,0.0,0.0,0.98,0.14,0.95,0.04,0.02,0.03,0.04,0.817,320.7,jev-1.13.0,1083,153
Q0034,canon eos r8 特徴,informational,0.99,0.01,0.0,0.0,0.99,0.02,0.08,0.88,0.93,0.04,0.93,0.0784,286.8,jev-1.13.0,1070,153
Q0035,Z50 2 公式ストア,navigational,0.0,0.0,0.05,0.95,0.94,0.09,0.95,0.03,0.03,0.04,0.03,0.8645,274.0,jev-1.13.0,1074,153
Q0036,アルファ FE 200-600 G と canon RF 100-500mm どっちがいい,comparison,0.0,1.0,0.0,0.0,1.0,0.04,0.09,0.63,0.94,0.03,0.94,0.0864,273.6,jev-1.13.0,1096,150
Q0037,CANON キヤノンR1 在庫 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.02,0.06,0.93,0.87,0.06,0.93,0.0588,285.7,jev-1.13.0,1079,152
Q0038,Nikon z50ii 中古 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.41,0.88,0.03,0.03,0.04,0.03,0.5192,231.2,jev-1.13.0,1075,152
Q0039,SONY 50mm f1.8 FE 特徴,informational,1.0,0.0,0.0,0.0,1.0,0.02,0.05,0.93,0.92,0.04,0.93,0.049,222.0,jev-1.13.0,1077,153
Q0040,Canon RF 100-500mm 違い NIKON Zf,comparison,0.0,1.0,0.0,0.0,1.0,0.43,0.92,0.83,0.95,0.04,0.95,0.5244,218.4,jev-1.13.0,1083,150
Q0041,ソニー α1マーク2 評判,informational,0.98,0.02,0.0,0.0,0.97,0.02,0.03,0.96,0.95,0.05,0.96,0.0294,264.8,jev-1.13.0,1076,153
Q0042,Sony カメラ レビュー,informational,0.95,0.05,0.0,0.0,0.93,0.02,0.02,0.94,0.09,0.05,0.94,0.0196,291.8,jev-1.13.0,1073,153
Q0043,NIKKOR Z 40mm F2 値段,transactional,0.0,0.0,1.0,0.0,1.0,0.17,0.95,0.03,0.02,0.03,0.03,0.7885,426.5,jev-1.13.0,1078,152
Q0044,NIKKOR Z 24-120mm f/4 S 通販 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.12,0.95,0.03,0.02,0.03,0.03,0.836,291.8,jev-1.13.0,1086,152
Q0045,z30 通販,transactional,0.0,0.0,1.0,0.0,1.0,0.06,0.91,0.03,0.03,0.04,0.03,0.8554,197.9,jev-1.13.0,1069,152
Q0046,24-105mm f4 L 口コミ 初心者向け,informational,0.87,0.12,0.01,0.0,0.83,0.03,0.09,0.05,0.54,0.06,0.54,0.0873,294.1,jev-1.13.0,1084,153
Q0047,Z 40mm f2 レビュー 初心者向け,informational,1.0,0.0,0.0,0.0,1.0,0.08,0.94,0.02,0.02,0.04,0.02,0.8648,293.1,jev-1.13.0,1082,153
Q0048,Z 50mm f1.8 使い方 初心者向け,informational,1.0,0.0,0.0,0.0,1.0,0.1,0.86,0.03,0.02,0.03,0.03,0.774,195.5,jev-1.13.0,1083,153
