query_id,query,true_intent,mentions_competitor,out_of_category,ambiguous,own_product_only,product_surface,impressions,clicks,conversions
Q0001,NIKON canon 違い,comparison,1,0,0,0,,274,18,0
Q0002,Z fc 設定方法 まとめ,informational,0,0,0,1,Z fc,108,1,0
Q0003,Nikon カスタマーサポート,navigational,0,0,0,0,,118,24,3
Q0004,Zf 価格 楽天,transactional,0,0,0,1,Zf,144,18,4
Q0005,24-120mm f4 S 評判 まとめ,informational,0,0,0,1,24-120mm f4 S,274,5,0
Q0006,ニコン 50mm f1.8 S 設定方法,informational,0,0,0,0,50mm f1.8 S,350,11,0
Q0007,NIKKOR Z 180-600mm 作例 まとめ,informational,0,0,0,1,NIKKOR Z 180-600mm,280,10,0
Q0008,Zf とは,informational,0,0,0,1,Zf,204,8,0
Q0009,z8 通販 店舗,transactional,0,0,0,1,z8,175,9,0
Q0010,RF24-105 F4 L スペック,informational,1,0,0,0,RF24-105 F4 L,2592,149,1
Q0011,z50ii 初心者,informational,0,0,0,1,z50ii,1011,54,0
Q0012,eos r50 スペック 初心者向け,informational,1,0,0,0,eos r50,1490,28,0
Q0013,ニコンZf 購入 楽天,transactional,0,0,0,1,ニコンZf,124,20,3
Q0014,Nikon カメラ 評判,informational,0,0,0,0,,615,12,0
Q0015,SONY プリンター,navigational,1,1,0,0,,96,18,6
Q0016,Nikon Canon どっちがいい,comparison,1,0,0,0,,278,26,1
Q0017,r6 mark2 価格 店舗,transactional,1,0,0,0,r6 mark2,417,27,2
Q0018,zfc 在庫 予約,transactional,0,0,0,1,zfc,707,83,3
Q0019,Canon eos r8 最安値 予約,transactional,1,0,0,0,eos r8,291,11,0
Q0020,nikon Z50 2 セール 使い方,transactional,0,0,1,0,Z50 2,209,10,0
Q0021,sony α7CII 違い NIKON Z9,comparison,1,0,0,0,α7CII / Z9,327,14,1
Q0022,NIKON z30 性能比較 どこで 在庫,comparison,0,0,1,0,z30,96,4,0
Q0023,Sony カスタマーサポート,navigational,1,0,0,0,,157,43,4
Q0024,Nikon ニコンZ9 通販 amazon,transactional,0,0,0,0,ニコンZ9,60,7,1
Q0025,CANON カスタマーサポート,navigational,1,0,0,0,,218,36,4
Q0026,sony a1 II キャンペーン,transactional,1,0,0,0,a1 II,66,2,0
Q0027,nikon Z 24-120mm f4 セール 予約,transactional,0,0,0,0,Z 24-120mm f4,367,37,4
Q0028,Nikon z30 違い sony FE 200-600mm G,comparison,1,0,0,0,z30 / FE 200-600mm G,879,59,1
Q0029,NIKON カメラ レビュー,informational,0,0,0,0,,261,22,0
Q0030,Canon カメラ 設定方法,informational,1,0,0,0,,374,19,1
Q0031,R6II 画質 どっちがいい,informational,1,0,1,0,R6II,1462,59,1
Q0032,RF 50mm f1.8 作例 初心者向け,informational,1,0,0,0,RF 50mm f1.8,585,18,0
Q0033,NIKKOR Z 40mm f/2 口コミ まとめ,informational,0,0,0,1,NIKKOR Z 40mm f/2,421,10,0
Q0034,canon eos r8 特徴,informational,1,0,0,0,eos r8,576,19,0
Q0035,Z50 2 公式ストア,navigational,0,0,0,1,Z50 2,72,16,2
Q0036,アルファ FE 200-600 G と canon RF 100-500mm どっちがいい,comparison,1,0,0,0,FE 200-600 G / RF 100-500mm,160,8,1
Q0037,CANON キヤノンR1 在庫 予約,transactional,1,0,0,0,キヤノンR1,405,30,2
Q0038,Nikon z50ii 中古 予約,transactional,0,0,0,0,z50ii,72,7,0
Q0039,SONY 50mm f1.8 FE 特徴,informational,1,0,0,0,50mm f1.8 FE,270,13,0
Q0040,Canon RF 100-500mm 違い NIKON Zf,comparison,1,0,0,0,RF 100-500mm / Zf,176,8,0
Q0041,ソニー α1マーク2 評判,informational,1,0,0,0,α1マーク2,2485,104,0
Q0042,Sony カメラ レビュー,informational,1,0,0,0,,564,17,0
